id,title,content,source,type,category,year_start,year_end,region,trend
161,数据真相,全球生育率从1800年的5.8个孩子下降到2020年的2.4个，人口增长趋于稳定。,Gapminder全球数据,datafacts,demographics,1800,2020,global,improving
162,数据真相,全球预期寿命从1800年的29岁增长到2020年的72岁，人类寿命延长了2.5倍。,Gapminder全球数据,datafacts,health,1800,2020,global,improving
163,数据真相,全球人均GDP从1800年的1224美元增长到2020年的11000美元，经济增长了8倍。,Gapminder全球数据,datafacts,economy,1800,2020,global,improving
164,数据真相,全球人口从1800年的10亿增长到2020年的78亿，但增长率正在下降。,Gapminder全球数据,datafacts,demographics,1800,2020,global,stabilizing
165,数据真相,全球儿童死亡率从1800年的每1000活产婴儿400人死亡下降到2020年的38人，下降了90%。,Gapminder全球数据,datafacts,health,1800,2020,global,improving
166,数据真相,全球识字率从1800年的12%增长到2020年的87%，教育普及率大幅提升。,Gapminder全球数据,datafacts,education,1800,2020,global,improving
167,数据真相,全球女性识字率从1800年的8%增长到2020年的83%，教育性别差距大幅缩小。,Gapminder全球数据,datafacts,education,1800,2020,global,improving
168,数据真相,全球极端贫困人口比例从1800年的90%下降到2020年的9%，减贫成效显著。,Gapminder全球数据,datafacts,poverty,1800,2020,global,improving
169,数据真相,全球城市人口比例从1800年的3%增长到2020年的56%，城市化进程加速。,Gapminder全球数据,datafacts,demographics,1800,2020,global,improving
170,数据真相,全球农业就业比例从1800年的80%下降到2020年的27%，经济结构现代化。,Gapminder全球数据,datafacts,economy,1800,2020,global,improving
171,数据真相,非洲生育率从1800年的6.58个孩子下降到2020年的4.4个，人口转型加速。,Gapminder区域数据,datafacts,demographics,1800,2020,africa,improving
172,数据真相,亚洲生育率从1800年的6.0个孩子下降到2020年的2.1个，人口增长趋于稳定。,Gapminder区域数据,datafacts,demographics,1800,2020,asia,improving
173,数据真相,欧洲生育率从1800年的5.5个孩子下降到2020年的1.6个，人口老龄化明显。,Gapminder区域数据,datafacts,demographics,1800,2020,europe,stabilizing
174,数据真相,美洲生育率从1800年的6.2个孩子下降到2020年的2.0个，人口结构优化。,Gapminder区域数据,datafacts,demographics,1800,2020,america,improving
175,数据真相,大洋洲生育率从1800年的6.0个孩子下降到2020年的2.3个，人口增长稳定。,Gapminder区域数据,datafacts,demographics,1800,2020,oceania,improving
176,数据真相,阿富汗预期寿命从1990年的50.3岁增长到2013年的56.2岁，健康水平显著改善。,Gapminder国家数据,datafacts,health,1990,2013,afghanistan,improving
177,数据真相,安哥拉预期寿命从1990年的50.3岁增长到2013年的60.4岁，健康水平大幅提升。,Gapminder国家数据,datafacts,health,1990,2013,angola,improving
178,数据真相,中国预期寿命从1990年的68.7岁增长到2020年的77.3岁，健康水平持续改善。,Gapminder国家数据,datafacts,health,1990,2020,china,improving
179,数据真相,印度预期寿命从1990年的58.3岁增长到2020年的69.7岁，健康水平大幅提升。,Gapminder国家数据,datafacts,health,1990,2020,india,improving
180,数据真相,巴西预期寿命从1990年的66.6岁增长到2020年的75.9岁，健康水平显著改善。,Gapminder国家数据,datafacts,health,1990,2020,brazil,improving
181,数据真相,阿鲁巴互联网普及率从1990年的0%增长到2017年的97.2%，数字革命跨越鸿沟。,Gapminder国家数据,datafacts,technology,1990,2017,aruba,improving
182,数据真相,阿富汗互联网普及率从1990年的0%增长到2023年的17.7%，数字接入显著改善。,Gapminder国家数据,datafacts,technology,1990,2023,afghanistan,improving
183,数据真相,韩国互联网普及率从1995年的0.8%增长到2020年的96.0%，数字化转型成功。,Gapminder国家数据,datafacts,technology,1995,2020,south_korea,improving
184,数据真相,爱沙尼亚互联网普及率从1996年的3.0%增长到2020年的90.0%，数字社会建设领先。,Gapminder国家数据,datafacts,technology,1996,2020,estonia,improving
185,数据真相,新加坡互联网普及率从1995年的1.0%增长到2020年的92.0%，智慧国家建设成功。,Gapminder国家数据,datafacts,technology,1995,2020,singapore,improving
186,数据真相,全球手机普及率从1990年的0.2%增长到2020年的95%，移动通信革命改变了世界。,Gapminder全球数据,datafacts,technology,1990,2020,global,improving
187,数据真相,全球互联网用户从1990年的0增长到2020年的46亿，数字鸿沟正在缩小。,Gapminder全球数据,datafacts,technology,1990,2020,global,improving
188,数据真相,全球婴儿死亡率从1800年的每1000活产婴儿300人死亡下降到2020年的28人，下降了91%。,Gapminder全球数据,datafacts,health,1800,2020,global,improving
189,数据真相,全球5岁以下儿童死亡率从1800年的每1000活产婴儿500人死亡下降到2020年的38人，下降了92%。,Gapminder全球数据,datafacts,health,1800,2020,global,improving
190,数据真相,全球孕产妇死亡率从1800年的每10万活产婴儿1000人死亡下降到2020年的211人，下降了79%。,Gapminder全球数据,datafacts,health,1800,2020,global,improving
191,数据真相,全球新生儿死亡率从1800年的每1000活产婴儿200人死亡下降到2020年的17人，下降了92%。,Gapminder全球数据,datafacts,health,1800,2020,global,improving
192,数据真相,全球疫苗接种覆盖率从1980年的20%增长到2020年的86%，疫苗可预防疾病大幅减少。,Gapminder全球数据,datafacts,health,1980,2020,global,improving
193,数据真相,全球结核病死亡率从1990年的每10万人30人死亡下降到2019年的15人，下降了50%。,Gapminder全球数据,datafacts,health,1990,2019,global,improving
194,数据真相,全球疟疾死亡人数从2000年的84万下降到2019年的40万，下降了52%。,Gapminder全球数据,datafacts,health,2000,2019,global,improving
195,数据真相,全球艾滋病新感染人数从1997年的320万下降到2019年的170万，下降了47%。,Gapminder全球数据,datafacts,health,1997,2019,global,improving
196,数据真相,全球脊髓灰质炎病例从1988年的35万例下降到2020年的140例，几乎根除。,Gapminder全球数据,datafacts,health,1988,2020,global,improving
