id,title,content,source,type,category,year_start,year_end,region,trend
1,偈语,无门关》,禅宗偈语,gathas,zen,,,,
2,偈语,狗子佛性，全提正令；才涉有无，丧身失命。,宋代 无门慧开《无门关》第一则,gathas,zen,,,,
3,偈语,不落不昧，两采一赛；不昧不落，千错万错。,宋代 无门慧开《无门关》第二则,gathas,zen,,,,
4,偈语,俱胝钝置老天龙，利刃单提勘小童；巨灵抬手无多子，分破华山千万重。,宋代 无门慧开《无门关》第三则,gathas,zen,,,,
5,偈语,痴人面前，不可说梦；胡子无须，惺惺添懵。,宋代 无门慧开《无门关》第四则,gathas,zen,,,,
6,偈语,香严真杜撰，恶毒无尽限；哑却衲僧口，通身迸鬼眼。,宋代 无门慧开《无门关》第五则,gathas,zen,,,,
7,偈语,拈起花来，尾巴已露；迦叶破颜，人天罔措。,宋代 无门慧开《无门关》第六则,gathas,zen,,,,
8,偈语,只为分明极，翻令所得迟；早知灯是火，饭熟已多时。,宋代 无门慧开《无门关》第七则,gathas,zen,,,,
9,偈语,机轮转处，达者犹迷；四维上下，南北东西。,宋代 无门慧开《无门关》第八则,gathas,zen,,,,
10,偈语,了身何似了心休？了得心兮身不愁。若也身心俱了了，神仙何必更封侯！（宋代 无门慧开《无门关》第九则,禅宗偈语,gathas,zen,,,,
11,偈语,）,禅宗偈语,gathas,zen,,,,
12,偈语,贫似范丹，气如项羽；活计虽无，敢与斗富。,宋代 无门慧开《无门关》第十则,gathas,zen,,,,
13,偈语,眼如流星，机似掣电；杀人刀，活人剑。,宋代 无门慧开《无门关》第十一则,gathas,zen,,,,
14,偈语,学道之人不识真，只为从前认识神；无量劫来生死本，痴人唤作本来人。,宋代 无门慧开《无门关》第十二则,gathas,zen,,,,
15,偈语,识得最初句，便会末后句；末后与最初，不是者一句。,宋代 无门慧开《无门关》第十三则,gathas,zen,,,,
16,偈语,赵州若在，倒行此令；夺却刀子，南泉乞命。,宋代 无门慧开《无门关》第十四则,gathas,zen,,,,
17,偈语,狮子教儿迷子诀，拟前跳踯早翻身；无端再叙当头著，前箭犹轻后箭深。,宋代 无门慧开《无门关》第十五则,gathas,zen,,,,
18,偈语,会则事同一家，不会万别千差；不会事同一家，会则万别千差。,宋代 无门慧开《无门关》第十六则,gathas,zen,,,,
19,偈语,铁枷无孔要人担，累及儿孙不等闲；欲得撑门并拄户，更须赤脚上刀山。,宋代 无门慧开《无门关》第十七则,gathas,zen,,,,
20,偈语,突出麻三斤，言亲意更亲；来说是非者，便是是非人。,宋代 无门慧开《无门关》第十八则,gathas,zen,,,,
21,偈语,春有百花秋有月，夏有凉风冬有雪；若无闲事挂心头，便是人间好时节。（宋代 无门慧开《无门关》第十九则,禅宗偈语,gathas,zen,,,,
22,偈语,）,禅宗偈语,gathas,zen,,,,
23,偈语,抬脚踏翻香水海，低头俯视四禅天；一个浑身无处著，请续一向。（宋代 无门慧开《无门关》第二十则,禅宗偈语,gathas,zen,,,,
24,偈语,）,禅宗偈语,gathas,zen,,,,
25,偈语,闪电光，击石火；眨得眼，已蹉过。,宋代 无门慧开《无门关》第二十一则,gathas,zen,,,,
26,偈语,问处何如答处亲？几人于此眼生筋？兄呼弟应扬家丑，不属阴阳别是春。,宋代 无门慧开《无门关》第二十二则,gathas,zen,,,,
27,偈语,描不成兮画不就，赞不及兮休生受；本来面目没处藏，世界坏时渠不朽。,宋代 无门慧开《无门关》第二十三则,gathas,zen,,,,
28,偈语,不露风骨句，未语先分付；进步口喃喃，知君大罔措。,宋代 无门慧开《无门关》第二十四则,gathas,zen,,,,
29,偈语,白日青天，梦中说梦；捏怪捏怪，诳呼一众。,宋代 无门慧开《无门关》第二十五则,gathas,zen,,,,
30,偈语,卷起明明彻太空，太空犹未合吾宗；争似从空都放下，绵绵密密不通风。,宋代 无门慧开《无门关》第二十六则,gathas,zen,,,,
31,偈语,叮咛损君德，无言真有功；任从沧海变，终不为君通。,宋代 无门慧开《无门关》第二十七则,gathas,zen,,,,
32,偈语,闻名不如见面，见面不如闻名；虽然救得鼻孔，争奈瞎却眼睛。,宋代 无门慧开《无门关》第二十八则,gathas,zen,,,,
33,偈语,风幡心动，一状领过；只知开口，不觉话堕。（宋代 无门慧开《无门关》第二十九则,禅宗偈语,gathas,zen,,,,
34,偈语,）,禅宗偈语,gathas,zen,,,,
35,偈语,青天白日，切忌寻觅；更问如何，抱赃叫屈。,宋代 无门慧开《无门关》第三十则,gathas,zen,,,,
36,偈语,问既一般，答亦相似；饭里有砂，泥中有刺。,宋代 无门慧开《无门关》第三十一则,gathas,zen,,,,
37,偈语,剑刃上行，冰棱上走；不涉阶梯，悬崖撒手。,宋代 无门慧开《无门关》第三十二则,gathas,zen,,,,
38,偈语,路逢剑客须呈剑，不遇诗人莫献诗。,宋代 无门慧开《无门关》第三十三则,gathas,zen,,,,
39,偈语,天晴日头出，雨下地上湿。,宋代 无门慧开《无门关》第三十四则,gathas,zen,,,,
40,偈语,云月是同，溪山各异。,宋代 无门慧开《无门关》第三十五则,gathas,zen,,,,
41,偈语,路逢达道人，不将语默对；拦腮劈面拳，直下会便会。（宋代 无门慧开《无门关》第三十六则,禅宗偈语,gathas,zen,,,,
42,偈语,）,禅宗偈语,gathas,zen,,,,
43,偈语,言无展事，语不投机；承言者丧，滞句者迷。（宋代 无门慧开《无门关》第三十七则,禅宗偈语,gathas,zen,,,,
44,偈语,）,禅宗偈语,gathas,zen,,,,
45,偈语,过去墅坑塹，回来却被坏；者些尾巴子，直是甚奇怪。（宋代 无门慧开《无门关》第三十八则,禅宗偈语,gathas,zen,,,,
46,偈语,）,禅宗偈语,gathas,zen,,,,
47,偈语,急流垂钓，贪饵者著；一口缝才开，性命丧却。（宋代 无门慧开《无门关》第三十九则,禅宗偈语,gathas,zen,,,,
48,偈语,）,禅宗偈语,gathas,zen,,,,
49,偈语,不是风幡心动，一状领过；只知开口，不觉话堕。（宋代 无门慧开《无门关》第四十则,禅宗偈语,gathas,zen,,,,
50,偈语,）,禅宗偈语,gathas,zen,,,,
51,偈语,劈碎净瓶，无物粘贴。,宋代 无门慧开《无门关》第四十一则,gathas,zen,,,,
52,偈语,女子能伏藏，须是丈夫为。,宋代 无门慧开《无门关》第四十二则,gathas,zen,,,,
53,偈语,言外一句，画蛇添足。,宋代 无门慧开《无门关》第四十三则,gathas,zen,,,,
54,偈语,一条白练横空绝，明月当天浑似雪。,宋代 无门慧开《无门关》第四十四则,gathas,zen,,,,
55,偈语,他是阿谁？定军刀现。,宋代 无门慧开《无门关》第四十五则,gathas,zen,,,,
